keyword;clasification
filtered vs. unfiltered water;SDG6
flood;SDG6
floods;SDG6
free basic water;SDG6
fresh water;SDG6
fuentes de agua;SDG6
global goal on water;SDG6
hygiene;SDG6
hygiene practices;SDG6
hygienic behaviour;SDG6
improved sanitation coverage;SDG6
improved water access indicator;SDG6
improved water and sanitation;SDG6
improved water sources;SDG6
improving water;SDG6
informal water providers;SDG6
integrated water resource management;SDG6
integrated water resources management;SDG6
integration;SDG6
irrigation;SDG6
multiple-use water services;SDG6
municipal water services;SDG6
municipal water supply agencies;SDG6
nano membrane toilet;SDG6
non-revenue water;SDG6
non-sewered sanitary systems;SDG6
open defecation;SDG6
packaged water;SDG6
pit latrine;SDG6
point-of-use water treatment;SDG6
pollution;SDG6
poor quality water use;SDG6
potable water;SDG6
public water service;SDG6
resource-oriented sanitation;SDG6
right to sanitation;SDG6
right to water;SDG6
river basins;SDG6
river;SDG6
rivers;SDG6
rural sanitation in ghana;SDG6
rural water and sanitation;SDG6
rural water schemes;SDG6
rural water supplies;SDG6
rural water supply;SDG6
rural water supply and sanitation;SDG6
rural water systems;SDG6
rural-water;SDG6
sachet water;SDG6
safe drinking water;SDG6
safe water;SDG6
safely managed water;SDG6
safer drinking-water;SDG6
sanitation;SDG6
sanitation adoption;SDG6
sanitation business;SDG6
sanitation chains;SDG6
sanitation coverage;SDG6
sanitation facilities;SDG6
sanitation ladder;SDG6
sanitation safety planning;SDG6
sanitation success;SDG6
sanitation success indicator;SDG6
sanitation system;SDG6
sanitation systems;SDG6
sanitation technologies;SDG6
sanitation trend;SDG6
sanitation/economics;SDG6
seahorse aquaculture;SDG6
sewerage;SDG6
shared sanitation;SDG6
small-scale sewage systems;SDG6
soil-water-waste nexus;SDG6
sprinkler irrigation;SDG6
stored rainwater quality;SDG6
supercritical water;SDG6
sustainable sanitation;SDG6
toilet facilities;SDG6
toilet;SDG6
toilets;SDG6
traditional and conventional medicine;SDG6
udd toilet;SDG6
unsafe sanitation;SDG6
urban services;SDG6
urban water cycle;SDG6
urban water cycle services;SDG6
urban water management;SDG6
urban water supply;SDG6
vip latrine;SDG6
virtual water content;SDG6
virtual water trade;SDG6
wash;SDG6
wash in schools;SDG6
wash programmes;SDG6
wastewater;SDG6
wastewater management;SDG6
wastewater treatment;SDG6
wastewater treatment plants;SDG6
wastewater use;SDG6
water access;SDG6
water accessibility;SDG6
water allocation;SDG6
water and health;SDG6
water and sanitation;SDG6
water and sanitation sector;SDG6
water consumption;SDG6
water cost;SDG6
water crisis;SDG6
water demand management;SDG6
water filtration;SDG6
water footprint assessment;SDG6
water infrastructure;SDG6
water infrastructure planning;SDG6
water management;SDG6
water poverty;SDG6
water resources;SDG6
water resources management;SDG6
water reuse;SDG6
water safety plans;SDG6
water service;SDG6
water services;SDG6
water supply;SDG6
water supply and sanitation;SDG6
water supply/economics;SDG6
water treatment;SDG6
water use;SDG6
water utility;SDG6
water utility optimisation;SDG6
access affordable;SDG7
access energy;SDG7
access energies;SDG7
access to electricity;SDG7
affordable energies;SDG7
alternative energy;SDG7
appropriate engineering;SDG7
battery;SDG7
biodiversity value;SDG7
bioenergy;SDG7
biofortification;SDG7
biofuel;SDG7
biofuel policy;SDG7
biofuels;SDG7
biopsychosocial model;SDG7
carbon;SDG7
changement climatique;SDG7
charcoal;SDG7
clean energy;SDG7
coal mine methane;SDG7
coal mine methane (cmm);SDG7
coal mine methane policy;SDG7
combustion;SDG7
efficiency of renewable energy;SDG7
electric energy intensity;SDG7
electrical energy storage (ees) technologies;SDG7
electricity;SDG7
electricity access;SDG7
electricity generation;SDG7
electricity sector reform;SDG7
electrification;SDG7
emission;SDG7
emissions;SDG7
energy;SDG7
energy access;SDG7
energy access modelling;SDG7
energy accessibility;SDG7
energy and emission taxes;SDG7
energy consumption;SDG7
energy conversion;SDG7
energy demand;SDG7
energy development;SDG7
energy efficiency;SDG7
energy efficiency;SDG7
energy indicators;SDG7
energy infrastructure;SDG7
energy intensities;SDG7
energy intensity;SDG7
energy issues;SDG7
energy pathways;SDG7
energy payback time;SDG7
energy planning;SDG7
energy renovation;SDG7
energy resource;SDG7
energy saving;SDG7
energy security;SDG7
energy sovereignty;SDG7
energy supply;SDG7
energy systems;SDG7
energy transition;SDG7
energy transitions;SDG7
energy use;SDG7
energy utilization;SDG7
geothermal energy;SDG7
green energy;SDG7
hydro energy;SDG7
leap model;SDG7
levelized cost of electricity;SDG7
lpg fuel subsidies;SDG7
material and energy use;SDG7
micro hydro power (mhp);SDG7
non-hydro electricity generation;SDG7
nuclear power;SDG7
off-grid rural electrification;SDG7
off-grid system;SDG7
renewable and sustainable energy;SDG7
renewable energies;SDG7
renewable energy;SDG7
renewable energy (re);SDG7
renewables;SDG7
smart grids (sg);SDG7
solar energy;SDG7
solid fuels;SDG7
sustainable energy;SDG7
sustainable energy access;SDG7
sustainable energy for all initiative;SDG7
sustainable energy investments;SDG7
volatile renewable energies;SDG7
wind energy;SDG7
woodfuels;SDG7
woody biomass;SDG7
banking;SDG8
boundary;SDG8
care-seeking behavior;SDG8
child health surveys;SDG8
commerce;SDG8
contracting;SDG8
curriculum adaptation;SDG8
curriculum development;SDG8
curriculum planning;SDG8
curriculum-making;SDG8
decent job;SDG8
decent work;SDG8
decent work;SDG8
developing markets;SDG8
development banks;SDG8
development work;SDG8
duty bearers;SDG8
economic diversification;SDG8
economic innovation;SDG8
economic assessment;SDG8
economic benefits;SDG8
economic conditions;SDG8
economic consequence;SDG8
economic costs;SDG8
economic criteria;SDG8
economic evaluation;SDG8
economic evaluations;SDG8
economic growth;SDG8
economic impact;SDG8
economic impacts;SDG8
economic indexes;SDG8
economic productivity;SDG8
economic regulation;SDG8
economic return;SDG8
economic returns;SDG8
economic security trap;SDG8
economical planning;SDG8
economics;SDG8
economy;SDG8
emerging markets;SDG8
employability;SDG8
employer perceptions;SDG8
employment;SDG8
employment;SDG8
energy market;SDG8
enterprises;SDG8
enterprise;SDG8
entrepreneurship;SDG8
ethical banking;SDG8
evaluacion economica;SDG8
evaluation economique;SDG8
exemption;SDG8
expenditure patterns;SDG8
finance;SDG8
financial and economic crisis;SDG8
financial crisis;SDG8
financial development;SDG8
financial incentives;SDG8
financial management;SDG8
financial market liberalization;SDG8
financial model;SDG8
financial ratios;SDG8
financial risk;SDG8
financial risk protection;SDG8
financial security;SDG8
financial support;SDG8
financial sustainability;SDG8
financial tracking system;SDG8
financial wellness;SDG8
financialisation;SDG8
gdp;SDG8
gdp growth;SDG8
green and inclusive economic growth;SDG8
green economy;SDG8
green finance;SDG8
green growth;SDG8
green tourism;SDG8
gross domestic product (gdp);SDG8
gross domestic product growth;SDG8
growth;SDG8
growth standards;SDG8
growth status;SDG8
growth strategy;SDG8
health care workforce;SDG8
health extension worker;SDG8
health extension workers;SDG8
health personnel;SDG8
health worker;SDG8
income growth;SDG8
informal economy;SDG8
international financial flows;SDG8
international monetary fund;SDG8
job creation;SDG8
labor;SDG8
labor right;SDG8
labor rights;SDG8
laboratory workforce strengthening;SDG8
labour market;SDG8
labour productivity;SDG8
limits of growth;SDG8
living wage;SDG8
long-term growth;SDG8
malmquist productivity index;SDG8
malmquist-dea;SDG8
manpower;SDG8
manufacturing;SDG8
manufacturing/remanufacturing;SDG8
midwifery workforce;SDG8
migrant labor;SDG8
mitigation banks;SDG8
mobile malaria worker;SDG8
monetary;SDG8
money;SDG8
money metric poverty;SDG8
national income accounting;SDG8
nature-based tourism management;SDG8
near-miss;SDG8
near-miss review;SDG8
non-health gross domestic product loss;SDG8
obstetric labor;SDG8
occupation;SDG8
occupational activity;SDG8
occupational change;SDG8
occupational roles;SDG8
organization;SDG8
organizational capacity;SDG8
organizational capacity building;SDG8
organizational capacity development;SDG8
organizational change;SDG8
organizational issues;SDG8
organizational studies;SDG8
organizations;SDG8
paediatric;SDG8
paediatrics;SDG8
paediatrics;SDG8
pediatrics;SDG8
person equivalent;SDG8
physicians;SDG8
place marketing development;SDG8
practitioners;SDG8
professional development;SDG8
professional meetings;SDG8
professional role;SDG8
professionalisation;SDG8
program managers;SDG8
pro-poor tourism;SDG8
public health nurses;SDG8
quality of working life;SDG8
registered nurses;SDG8
rular electrification;SDG8
run-of-river hydropower;SDG8
rural electrification;SDG8
rural health workers;SDG8
sex workers;SDG8
slavery ;SDG8
smallholder;SDG8
smallholders;SDG8
small-holders;SDG8
smart growth;SDG8
smart tourism;SDG8
socio-economic sustainability;SDG8
sustainable economic development;SDG8
sustainable economy;SDG8
sustainable return on investment;SDG8
sustainable tourism;SDG8
teacher recruitment;SDG8
teamwork;SDG8
tourism;SDG8
tourism and development;SDG8
trade support;SDG8
traditional practitioners;SDG8
training of trainers;SDG8
transition economies;SDG8
unemployment;SDG8
veterinary;SDG8
village doctor;SDG8
village health worker;SDG8
village health workers;SDG8
well-paid jobs;SDG8
work;SDG8
work opportunities;SDG8
workforce;SDG8
workforce science;SDG8
workforce shortage;SDG8
workforce surveillance;SDG8
working conditions;SDG8
workplace;SDG8
workplaces;SDG8
youth employment;SDG8
youth unemployment;SDG8
adaptive capacity;SDG9
adaptive comanagement;SDG9
adaptive co-management;SDG9
affordable access;SDG9
campaign;SDG9
clean development mechanism (cdm);SDG9
commercial banks;SDG9
commercial online services;SDG9
commercialization;SDG9
company;SDG9
construction management;SDG9
construction materials;SDG9
cooperatives;SDG9
corporate social responsibility;SDG9
corporate social responsibility (csr);SDG9
corporate sustainability;SDG9
corporations;SDG9
dairy farming;SDG9
digital libraries;SDG9
disaster resilience;SDG9
eco-innovation;SDG9
ecological infrastructure;SDG9
economic development;SDG9
ecosystem distress syndrome;SDG9
energy industry;SDG9
enterprise input-output;SDG9
fast-fashion industry;SDG9
global data infrastructure;SDG9
green infrastructure;SDG9
green innovation;SDG9
green investment schemes;SDG9
green manufacturing system;SDG9
green refinery;SDG9
gwr;SDG9
haiti reconstruction;SDG9
hospital schools;SDG9
hospitals;SDG9
hss;SDG9
inclusive industry;SDG9
inclusive innovation;SDG9
industrial buildings;SDG9
industrial district;SDG9
industrialisation;SDG9
industrializing economy;SDG9
industry;SDG9
infrastructure;SDG9
infrastructure decision making;SDG9
infrastructure reconstruction;SDG9
innovation;SDG9
innovative funding;SDG9
innovativeness;SDG9
internet;SDG9
internet access;SDG9
internet services;SDG9
intrastrure planning;SDG9
laboratory;SDG9
laboratory medicine;SDG9
labour markets;SDG9
lean manufacturing;SDG9
libraries;SDG9
library and information services;SDG9
life cycle analysis;SDG9
life cycle analysis (lca);SDG9
life cycle assessment;SDG9
life cycle assessment (lca);SDG9
life cycle costing (lcc);SDG9
life cycle design;SDG9
life cycle thinking;SDG9
life cycles;SDG9
life expectancy;SDG9
life-course;SDG9
life-course perspective;SDG9
life-cycle thinking;SDG9
l'omd;SDG9
low cost technologies;SDG9
low-cost energy technology;SDG9
market access;SDG9
market creation;SDG9
market performance;SDG9
market segmenting;SDG9
markets;SDG9
micro-carrier technology;SDG9
microenterprise;SDG9
mission hospitals;SDG9
panopticon;SDG9
peacebuilding;SDG9
pediatric;SDG9
pediatrics;SDG9
post-productivism;SDG9
practice of gmp;SDG9
primary health facilities;SDG9
primary healthcare facilities;SDG9
professional organizations;SDG9
public health facilities;SDG9
public health facility;SDG9
public infrastructure;SDG9
public libraries;SDG9
quality infrastructure;SDG9
regional infrastructure;SDG9
reliable infrastructure;SDG9
resilient infrastructure;SDG9
responsabilidad social corporativa;SDG9
responsible digital innovation;SDG9
responsible innovation;SDG9
reverse innovation;SDG9
rooftop greenhouse;SDG9
rural health centre;SDG9
rural health services;SDG9
rural infrastructure;SDG9
small- and medium-sized enterprises (smes);SDG9
social enterprise;SDG9
social enterprises;SDG9
social entrepreneurship;SDG9
social innovation;SDG9
social marketing;SDG9
supply chain management;SDG9
supply chain of artemisinin;SDG9
supply chain sustainability;SDG9
supply chains;SDG9
supply-side;SDG9
sustainable industry;SDG9
sustainable infrastructure;SDG9
sustainable business model;SDG9
sustainable innovation;SDG9
technological capabilities;SDG9
technological innovation;SDG9
technological innovations;SDG9
technologies;SDG9
technologists;SDG9
technology;SDG9
technology assessment;SDG9
technology gaps;SDG9
technology receptivity;SDG9
technology transfer;SDG9
trade;SDG9
trade costs;SDG9
trade facilitation;SDG9
trade-off analysis;SDG9
tradeoffs;SDG9
trade-offs;SDG9
trade-offs and synergies;SDG9
traditional agroforestry systems;SDG9
transborder infrastructure;SDG9
world bank;SDG9
